latitude,longitude,snow_thickness
78.2550305,16.185883667,0.883191603164887
78.255042167,16.186030667,0.8862013549985086
78.255042167,16.186030667,0.8779290769468493
78.255054833,16.186178333,0.8701898184677839
78.255054833,16.186178333,1.01040751240578
78.255068,16.186327,1.050611933814204
78.255068,16.186327,0.9790017258327892
78.255080667,16.186474,0.8874046416381196
78.255080667,16.186474,0.9448912652768048
78.255093333,16.186622333,1.0052870328196175
78.255093333,16.186622333,1.0123208747444252
78.255106,16.186771833,1.0383920212858442
78.255106,16.186771833,1.0333193979522777
78.255118333,16.186918833,1.0765748951832637
78.255118333,16.186918833,1.095817681404334
78.255130667,16.187064333,1.065559065119458
78.255130667,16.187064333,1.0295895542087217
78.255142667,16.187215167,1.028725252543084
78.255142667,16.187215167,1.007037472700312
78.255154667,16.187366167,0.9847364914777944
78.255154667,16.187366167,0.8940286096158778
78.255166333,16.187520667,0.8493311741420588
78.255166333,16.187520667,0.8758523184105187
78.2551785,16.187678833,0.8981949837314747
78.2551785,16.187678833,0.9118038864716512
78.25519,16.187837,0.9217822565743964
78.25519,16.187837,0.9370001265750864
78.255203,16.187992833,0.8961453073135179
78.255203,16.187992833,0.8148920366843115
78.255214667,16.1881465,0.7998269379518053
78.255214667,16.1881465,0.7884397731581776
78.255227167,16.188295,0.8323451445157535
78.255227167,16.188295,0.8225039394088218
78.25524,16.188443167,0.7415809557491582
78.25524,16.188443167,0.7646688405820108
78.255251833,16.188591667,0.874239232271065
78.255251833,16.188591667,0.9564999398321368
78.255264167,16.188741167,1.0522674152901208
78.255264167,16.188741167,1.001764377731693
78.255276167,16.188891,0.9446300631915489
78.255276167,16.188891,1.0177637266434445
78.255287833,16.189040667,1.0858088277647748
78.255287833,16.189040667,1.0907740414167226
78.255298833,16.189191,1.0426238036972255
78.255298833,16.189191,0.9584987575788676
78.255311167,16.189337167,1.013738988389287
78.255311167,16.189337167,0.931036499465752
78.255321833,16.189481667,0.8397198835320614
78.255321833,16.189481667,0.8590248386186579
78.255332333,16.189624833,0.8783297937052543
78.255332333,16.189624833,0.8101187982770504
78.255344333,16.189768,0.8865007996266907
78.255344333,16.189768,0.8878462347221519
78.255356333,16.1899105,0.8865000385297832
78.255356333,16.1899105,0.9078833865728906
78.255367167,16.190055167,0.952153327311581
78.255367167,16.190055167,1.0073289759712405
78.255376667,16.190202833,1.0349636788310763
78.255376667,16.190202833,1.063423072079137
78.255386833,16.1903485,1.0805565762192348
78.255386833,16.1903485,0.8124705213124015
78.2553965,16.190495333,0.8272550622605552
78.2553965,16.190495333,0.8510974465277483
78.255405833,16.190647667,0.7880588897488789
78.255405833,16.190647667,0.7565163955656191
78.255417,16.190793833,0.775404379837646
78.255417,16.190793833,0.7973635738292908
78.255428667,16.190941167,0.8148782036281441
78.255428667,16.190941167,0.8820795805645771
78.255440167,16.191094667,0.8815700405353799
78.255440167,16.191094667,0.8291277731175035
78.255451833,16.191246667,0.7663290131602876
78.255451833,16.191246667,0.7964991676406521
78.2554635,16.191399167,0.8820396158550723
78.2554635,16.191399167,0.8036434518018649
78.255474333,16.191552833,0.7074571722668523
78.255474333,16.191552833,0.7619812193921458
78.2554845,16.191705167,0.8827329532563988
78.2554845,16.191705167,0.8481346782254056
78.255495,16.191853833,0.813536403194397
78.255495,16.191853833,0.7889514489494964
78.255505667,16.1919985,0.7977326288378535
78.255505667,16.1919985,0.8065138087262105
78.255517333,16.192142333,0.8152949886145671
78.255517333,16.192142333,0.8862349886972527
78.2555295,16.192287667,0.9064816030751156
78.2555295,16.192287667,0.9008845737497276
78.255540333,16.192433667,0.8977667662373952
78.255540333,16.192433667,0.828911097193856
78.255551167,16.1925775,0.8026477316763316
78.255551167,16.1925775,0.8081995907295088
78.255562167,16.192721833,0.8561895605674907
78.255562167,16.192721833,0.8825419963202481
78.2555735,16.192871,0.8127335632827974
78.2555735,16.192871,0.7584898097500836
78.255584667,16.19302,0.7706491127752688
78.255584667,16.19302,0.7965645003456143
78.255595333,16.193173333,0.8367823884789518
78.255595333,16.193173333,0.7945468363973567
78.255606167,16.193325833,0.7472864336807654
78.255606167,16.193325833,0.7770604956434415
78.255617833,16.1934705,0.8038501462999381
78.255617833,16.1934705,0.8291763711617022
78.2556295,16.193614667,0.8551758805033025
78.2556295,16.193614667,0.8804581659007591
78.255641667,16.1937605,0.9063791934725594
78.255641667,16.1937605,0.9238693652150756
78.255654167,16.1939055,0.9336297921810386
78.255654167,16.1939055,0.9297339857863924
78.255666333,16.194053333,0.9415770059999528
78.255666333,16.194053333,0.939743723833391
78.255678167,16.194201,0.8924695094935684
